id,series_id,year,period,value,footnote_codes,original_file
44,CEU5552212082,2016,M13,67744,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
45,CEU5552219007,2016,M13,37.1,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
46,CEU5552219008,2016,M13,19.66,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
47,CEU5552219030,2016,M13,730.09,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
48,CEU5552219031,2016,M13,311.9,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
49,CEU5552219032,2016,M13,8.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
50,CEU5552219034,2016,M13,125.8,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
51,CEU5552219035,2016,M13,191.2,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
52,CEU5552219081,2016,M13,7727,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
53,CEU5552219082,2016,M13,151877,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
54,CEU5552220007,2016,M13,38,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
55,CEU5552220008,2016,M13,26.53,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
56,CEU5552220030,2016,M13,1007.31,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
57,CEU5552220031,2016,M13,430.33,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
58,CEU5552220032,2016,M13,11.33,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
59,CEU5552220034,2016,M13,97.1,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
60,CEU5552220035,2016,M13,146.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
61,CEU5552220081,2016,M13,18275,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
62,CEU5552220082,2016,M13,484782,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
63,CEU5552229107,2016,M13,37.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
64,CEU5552229108,2016,M13,15.96,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
65,CEU5552229130,2016,M13,597.73,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
66,CEU5552229131,2016,M13,255.36,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
67,CEU5552229132,2016,M13,6.82,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
68,CEU5552229134,2016,M13,110.5,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
69,CEU5552229135,2016,M13,135.5,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
70,CEU5552229181,2016,M13,2900,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
71,CEU5552229182,2016,M13,46289,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
72,CEU5552229207,2016,M13,38.3,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
73,CEU5552229208,2016,M13,32.21,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
74,CEU5552229230,2016,M13,1232.42,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
75,CEU5552229231,2016,M13,526.5,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
76,CEU5552229232,2016,M13,13.76,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
77,CEU5552229234,2016,M13,91.9,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
78,CEU5552229235,2016,M13,132.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
79,CEU5552229281,2016,M13,7309,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
